FILE	T308_05745	T308_01980	pbp1A	pepN	spr1868	MYY_1559	SPNOXC_18220	SPCG_0300	folC	SP_0994	T308_07955	proS	SP_1378	glmU	pfkA	SPH_0698	gltX	SPP_1577	SPH_2221	SPH_0011	mraW	ABC-MSP	SPNINV200_04030	SPN23F_03890	groEL	fmt	SPN23F_06830	SP_0801	SP_1369	lysA	spr0747	SPH_2425	SPG_0791	hrcA	mutM	sulD	recF	MYY_0732	deoB	rseP	T308_09660	SPAP_0959	dapA	SPCG_0009	SPNOXC_10430	SPH_1568	SPNINV200_01840	sufB	SP70585_1946	recX	SPH_1677	proC	engC	dnaB	SPH_0901	SPCG_0004	glcK	trxB	T308_07675	SPNINV200_19970	HMPREF1038_01932	SPG_1501	SPCG_1853	deoC	SPCG_1945	SPCG_1937	pgk	ftsZ	SPN23F_19960	SP_1388	SP_1893	nagA	coaE	SPNA45_02072	INV104_10950	SPN23F_14690	dapB	SPCG_1000	spr1655	SPNOXC_13960	cpoA	thyA	rnz	SP670_2364	nadD	exoA	SPH_0308	accC	era	MYY_0831	SPCG_0199	SPT_0815	SPN23F_14860	SPN034156_10190	trsA	lgt	carA	adk	ulaD	pstS	SP_0204	recU	spr1158	T308_01440	SPNA45_00786	rpe2	spr0664	dnaQ	spr1400	SPAP_1556	amiF	rnc	INV104_16000	T308_05720	gla	HMPREF1038_01632	SPCG_0812	nagB	frr	T308_00050	fabG	HMPREF0837_11925	eutD	nrdF	SP70585_1168	pstB2	SP70585_0662	rpoA	SPCG_1623	T308_02840	spr2028	pstB3	deoR	SPN034156_04020	SPCG_1487	ctsR	secY	HMPREF1038_01954	SPJ_1559	HMPREF1038_01728	spr0488	nrdG	T308_10820	T308_10680	codY	SPNOXC_15600	nifU	thiW	gapA	upp	T308_08170	SPH_1611	rplB	hpt	SP670_0262	HMPREF1038_00527	SPNINV200_13110	HMPREF1038_00979	T308_05785	spr0026	T308_06415	SP_1580	ftsE	pgsA	SPAP_0270	pyrH	SP670_2107	psaC	gpmA	SPJ_0703	T308_03580	fabZ	clpP	SP670_1952	SP670_1938	dut	MYY_0778	rplC	T308_03475	HMPREF0837_10669	T308_08525	T308_08805	rplI	ciaR	MYY_1563	SPCG_0966	T308_06605	rnpA	lspA	SPP_1560	SPCG_0306	ftsL	T308_04825	T308_10715	rplU	SPNA45_00008	rpsI	SPP_1430	spr1316	SPP_1761	accB	rpsH	MYY_0416	T308_01970	rpsM	SPH_1429	spr0980	rpsE	rpsG	T308_04655	SPH_0772	spxA	rplX	rpsJ	SPNA45_01833	rplN	T308_05750	rplT	SPAP_0276	SP670_2349	SPNOXC_15380	rpsR	rpsL	rplW	infA	SPCG_1446	asp23	pyrR	T308_01120	rpsO	rplP	rpsQ	T308_03960	T308_01145	rpsS	rpmC	rpmI
NC_017593.fna	12	6	12	6	8	4	7	8	5	7	6	4	6	7	2	11	9	4	6	5	10	3	1	4	1	1	8	6	7	8	2	2	7	4	7	1	7	11	4	1	2	3	5	2	4	4	1	3	6	4	3	1	1	1	2	2	2	6	1	1	3	10	2	5	6	9	2	4	2	5	3	3	7	2	2	1	5	7	6	2	3	1	2	2	4	2	3	2	3	2	2	2	6	2	3	5	3	4	3	3	5	3	5	2	7	3	1	6	7	1	5	2	3	2	6	3	3	4	3	4	1	3	2	2	1	2	3	1	2	3	2	4	5	2	2	4	2	2	2	2	5	2	4	1	1	2	2	3	3	3	2	2	1	2	1	2	1	2	3	2	3	2	3	4	1	4	2	2	2	2	2	4	2	1	1	2	2	1	1	2	1	7	1	2	1	2	3	3	3	2	2	1	1	1	2	2	1	1	1	2	2	2	3	2	1	1	2	1	1	2	1	1	2	2	2	1	1	2	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_012466.fna	13	12	13	5	9	9	11	12	4	2	12	5	4	9	2	12	5	4	3	9	6	3	1	4	2	5	2	2	6	9	3	1	3	6	11	1	3	12	2	2	8	6	5	5	4	5	2	2	7	5	6	9	3	1	2	2	2	5	1	7	2	5	2	4	10	10	2	5	3	2	4	3	9	2	7	3	3	4	2	3	2	4	4	2	1	2	3	3	1	2	3	1	3	2	3	3	3	2	2	3	3	3	4	3	8	2	5	2	2	1	3	2	1	2	2	3	4	2	2	3	1	5	2	2	1	2	5	1	5	3	5	2	6	2	2	4	2	3	1	2	2	8	3	1	2	2	2	2	2	3	2	3	1	2	1	2	2	3	1	2	4	2	2	2	1	2	2	2	1	1	2	3	2	3	4	2	2	1	1	2	2	5	1	2	3	2	2	3	3	2	2	1	1	1	2	2	1	1	1	2	2	2	3	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_017592.fna	14	13	5	5	5	10	1	8	5	2	13	9	4	10	2	13	9	10	8	10	7	3	2	7	2	3	7	5	5	10	2	2	1	4	12	10	2	8	2	1	8	7	10	2	1	7	3	3	7	11	9	2	3	1	2	2	2	2	1	3	2	5	3	7	11	2	2	3	6	2	3	3	3	2	3	1	8	8	7	1	6	4	2	5	5	3	6	2	3	2	2	5	6	3	1	4	3	4	5	3	4	8	1	5	4	3	5	2	6	1	3	5	1	2	1	3	2	2	2	5	4	3	2	2	1	1	6	1	2	3	2	2	5	6	2	4	2	2	5	2	2	3	2	1	2	1	7	4	2	6	2	2	1	2	1	2	4	2	1	2	3	1	2	5	1	2	2	2	1	2	2	2	2	4	1	2	2	1	1	2	2	2	1	2	1	2	2	1	3	2	2	1	1	1	3	2	1	2	1	2	1	2	3	2	1	3	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_012467.fna	15	9	9	2	6	11	9	8	7	5	14	10	10	8	2	13	7	1	9	7	7	3	2	4	3	8	9	9	6	5	2	2	8	8	9	4	4	8	2	1	6	3	1	8	7	5	2	2	6	6	8	6	6	1	2	2	5	1	1	3	2	11	8	1	12	11	2	4	3	2	3	3	5	2	3	1	1	8	8	2	4	3	2	3	3	4	3	2	3	2	3	1	3	2	3	5	4	2	3	5	3	6	3	3	3	8	5	4	3	1	4	6	1	2	3	3	2	2	1	3	2	3	2	2	1	2	6	1	2	3	2	2	3	4	2	4	2	2	6	2	8	6	2	1	2	2	2	4	2	7	2	6	1	1	1	2	2	2	1	2	4	2	3	2	1	2	2	2	2	2	2	3	3	1	4	2	2	1	1	2	1	7	1	2	1	2	2	3	1	4	2	1	1	1	3	2	2	1	1	1	3	2	3	2	1	1	2	1	1	3	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_003098.fna	7	7	14	2	1	5	7	8	6	4	7	7	7	6	6	8	2	6	6	6	6	4	4	4	2	4	1	7	2	6	4	2	3	6	3	6	4	7	5	1	5	3	7	2	4	5	2	3	6	2	7	4	3	1	2	2	2	1	1	3	2	6	5	6	3	6	4	4	4	2	3	3	5	2	2	1	3	3	2	2	7	3	4	3	4	1	4	3	3	2	9	2	6	2	3	5	3	2	3	3	3	3	1	5	4	3	1	2	6	1	4	4	4	2	6	4	3	3	5	3	1	3	2	2	1	3	4	1	2	3	2	2	4	2	2	5	2	2	2	3	1	4	5	1	1	2	5	3	2	2	3	2	1	2	1	2	3	2	1	3	6	2	3	2	1	2	2	1	1	2	2	3	2	3	4	2	2	1	1	2	1	2	1	2	1	2	2	3	3	2	2	1	1	1	2	2	1	1	1	2	2	2	3	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1
NC_021003.fna	11	14	11	1	6	8	9	10	8	2	11	4	9	5	2	10	3	9	7	7	7	3	1	4	2	8	3	5	10	5	5	2	6	9	10	11	2	10	2	1	8	3	1	8	4	4	2	3	6	10	2	8	6	1	2	6	7	1	1	6	5	9	7	7	13	3	2	4	3	2	3	3	8	4	1	1	7	4	8	3	3	6	2	5	4	2	2	2	5	2	8	4	3	2	3	5	3	5	3	3	2	9	6	3	6	7	7	4	8	1	3	5	2	5	3	3	5	2	6	2	1	3	2	2	1	2	3	1	2	2	2	3	4	3	2	2	2	2	2	2	2	1	6	1	2	2	2	5	2	5	2	2	1	1	1	2	2	2	4	2	6	2	3	2	1	2	2	2	1	2	2	2	2	3	5	2	2	1	1	2	2	7	1	2	3	2	2	3	4	2	4	1	1	3	3	2	1	1	1	2	1	2	3	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_021004.fna	11	14	11	1	6	8	9	10	8	2	11	4	9	5	2	10	3	9	7	7	7	3	1	4	2	8	3	5	10	5	5	2	6	9	10	11	2	10	2	1	8	8	1	8	4	4	2	3	6	10	2	8	6	1	2	6	7	1	1	6	5	9	7	7	9	3	2	4	3	2	3	3	8	2	1	1	7	4	8	3	3	6	2	5	4	2	2	2	4	2	8	4	3	2	3	5	3	5	3	3	2	9	6	3	6	7	7	4	3	1	3	5	2	5	3	3	5	2	6	2	1	3	2	2	1	2	3	1	2	2	2	3	4	3	2	2	2	2	2	2	2	1	6	1	2	2	2	5	2	5	2	2	1	1	1	2	2	2	4	2	6	2	3	2	1	2	2	2	1	2	2	2	2	3	5	2	2	1	1	2	2	7	1	2	3	2	2	3	4	2	4	1	1	3	3	2	1	1	1	2	1	2	3	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_021006.fna	14	13	5	5	5	12	12	8	5	2	13	4	4	10	7	13	9	4	8	10	7	3	2	7	2	3	7	5	5	11	6	3	1	10	12	10	6	8	2	1	8	2	10	2	8	7	3	3	6	12	10	2	5	1	2	2	8	2	1	2	2	5	3	7	14	3	2	3	3	2	3	3	3	5	3	1	9	8	7	1	2	4	2	2	5	3	6	2	6	2	2	5	6	1	3	4	3	4	6	3	4	8	1	5	4	3	5	2	6	1	4	5	1	2	1	2	2	2	7	5	2	3	2	2	1	1	7	2	2	3	2	2	5	1	2	5	2	4	5	2	2	3	2	1	2	2	4	4	2	6	2	7	1	2	1	2	4	2	1	2	3	1	2	2	1	2	2	2	1	2	2	3	2	3	1	2	2	1	1	2	2	7	1	2	1	2	2	1	3	2	2	1	1	1	3	2	1	2	1	2	2	2	3	2	1	3	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_021028.fna	14	13	5	5	5	10	1	8	5	2	13	9	4	10	2	13	9	10	8	10	7	3	2	7	2	3	7	5	5	10	2	2	1	4	12	10	2	8	2	1	8	7	10	2	1	7	3	3	7	11	9	2	3	1	2	2	2	2	1	3	2	5	3	7	11	12	2	3	6	2	3	3	3	2	3	1	8	8	7	1	6	4	2	5	5	3	6	2	3	2	2	5	6	3	1	4	3	4	5	3	4	8	1	5	4	3	5	2	6	1	3	5	1	2	1	3	2	2	2	5	4	3	2	2	1	1	6	1	2	3	2	2	5	6	2	4	2	5	5	2	2	3	2	1	2	1	7	4	2	6	2	2	1	2	1	2	4	2	1	2	3	1	2	5	1	2	2	2	1	2	2	2	2	4	1	2	2	1	1	2	2	2	1	2	1	2	2	1	3	2	2	1	1	1	3	2	1	2	1	2	1	2	3	2	1	3	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_021026.fna	14	13	5	5	5	10	1	8	5	2	13	9	4	10	8	13	9	10	8	10	7	3	2	7	2	3	7	5	5	10	2	4	1	4	12	10	2	8	2	1	8	7	10	2	1	7	3	3	7	11	9	2	3	1	2	2	2	2	1	3	2	5	3	7	11	2	2	3	6	2	3	3	3	2	3	1	8	8	7	1	6	4	2	5	5	3	6	2	3	2	2	5	6	3	1	4	3	4	5	3	4	8	1	5	4	3	5	2	9	1	3	5	1	2	1	3	2	2	2	5	4	3	2	2	1	1	6	1	2	3	2	2	5	6	2	4	2	2	5	2	2	3	2	1	2	1	7	4	2	6	2	2	1	2	1	2	4	2	1	2	3	1	2	5	1	2	2	2	1	2	2	2	2	4	1	2	2	1	1	2	2	2	1	2	1	2	2	1	3	2	2	1	1	1	3	2	1	2	1	2	1	2	3	2	1	3	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_021005.fna	14	13	5	5	5	10	1	8	5	2	13	9	4	10	8	13	9	10	8	10	7	3	2	7	2	3	7	5	5	10	2	4	1	4	12	10	2	8	2	1	8	9	10	2	1	7	3	3	7	11	9	2	3	1	2	2	2	2	1	3	2	5	3	7	11	2	2	3	6	2	3	3	3	2	3	1	8	8	7	1	6	4	2	5	5	3	6	2	3	2	2	5	6	3	1	4	3	4	5	3	4	8	1	5	4	3	5	2	9	1	3	5	1	2	1	3	2	2	2	5	4	3	2	2	1	1	6	1	2	3	2	2	5	6	2	4	2	2	5	2	2	3	2	1	2	1	7	4	2	6	2	2	1	2	1	2	4	2	1	2	3	1	2	5	1	2	2	2	1	2	2	2	2	4	1	2	2	1	1	2	2	2	1	2	1	2	2	1	3	2	2	1	1	1	3	2	1	2	1	2	1	2	3	2	1	3	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_018594.fna	16	15	1	8	10	2	13	8	9	8	15	11	11	5	9	14	10	3	10	11	11	5	2	8	2	9	10	10	11	12	7	5	9	11	8	9	8	13	2	4	9	7	11	9	5	8	4	5	6	1	3	10	7	1	2	2	2	8	1	3	6	12	3	4	15	9	1	4	1	6	5	4	10	1	2	1	3	9	2	5	2	3	5	2	6	4	2	2	3	2	2	2	6	4	3	8	3	4	3	3	6	3	7	6	1	9	5	7	3	2	3	7	2	3	7	3	6	6	8	6	5	6	2	2	1	3	8	1	2	5	2	2	7	7	3	4	2	3	3	2	2	4	7	1	3	2	3	2	2	2	2	8	1	2	1	4	2	5	5	2	6	1	3	2	1	2	3	2	1	2	2	2	4	3	1	2	2	1	1	2	1	7	1	2	1	3	3	1	1	2	2	1	1	1	3	1	1	1	1	2	2	2	3	2	1	1	3	1	1	2	1	1	3	3	1	1	1	1	4	1	1	3	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_017769.fna	1	1	4	2	9	13	4	4	10	2	1	4	12	4	2	4	3	4	11	2	12	3	2	4	2	3	4	4	4	4	3	2	10	4	4	3	4	1	2	1	1	3	3	3	4	4	2	4	3	2	4	3	4	1	2	2	4	2	1	3	7	4	2	2	4	13	5	2	2	2	3	3	4	2	2	1	3	4	4	2	2	3	2	2	3	3	7	2	3	1	2	1	4	2	3	4	3	2	3	3	4	4	3	1	4	4	4	3	3	1	3	3	5	1	3	2	3	2	2	3	3	3	2	3	1	2	3	1	2	1	2	3	4	4	2	3	2	2	3	2	2	3	1	1	2	2	3	3	2	2	2	3	1	1	1	2	2	2	1	2	1	2	3	3	1	2	2	2	2	2	1	3	2	2	6	2	1	1	1	3	1	1	1	2	1	2	1	3	3	3	2	2	1	1	2	2	2	2	1	2	2	2	4	2	1	1	2	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
