FILE	ST	CC	serotype
ERR025284.fa	-	-	3
ERR025285.fa	180	-	3
ERR025286.fa	180	-	3
ERR025287.fa	180	-	3
ERR025288.fa	180	-	3
ERR025289.fa	180	-	3
ERR025290.fa	180	-	3
ERR025291.fa	-	-	3
ERR025293.fa	180	-	3
ERR025294.fa	180	-	3
ERR025295.fa	180	-	3
ERR025296.fa	180	-	3
ERR025297.fa	1826	-	3
ERR025298.fa	180	-	3
ERR025301.fa	180	-	3
ERR025302.fa	180	-	3
ERR025303.fa	180	-	3
ERR025304.fa	180	-	3
ERR025306.fa	180	-	3
ERR025307.fa	180	-	3
ERR025308.fa	180	-	3
ERR025309.fa	180	-	3
ERR025310.fa	180	-	3
ERR025311.fa	180	-	3
ERR025312.fa	180	-	3
ERR025313.fa	180	-	3
ERR025314.fa	-	-	3
ERR025315.fa	180	-	3
ERR025316.fa	180	-	3
ERR025318.fa	180	-	3
ERR025319.fa	180	-	3
ERR025320.fa	180	-	3
ERR025321.fa	180	-	3
ERR025322.fa	180	-	3
ERR025323.fa	180	-	3
ERR025324.fa	180	-	3
ERR025325.fa	180	-	3
ERR025326.fa	180	-	3
ERR025327.fa	180	-	3
ERR026213.fa	180	-	3
ERR026214.fa	180	-	3
ERR026215.fa	180	-	3
ERR026216.fa	180	-	3
ERR026217.fa	180	-	3
ERR026218.fa	180	-	3
ERR026219.fa	180	-	3
ERR026220.fa	180	-	3
ERR026222.fa	180	-	3
ERR026224.fa	180	-	3
ERR026225.fa	180	-	3
ERR026226.fa	180	-	3
ERR026227.fa	180	-	3
ERR026228.fa	180	-	3
ERR026230.fa	180	-	3
ERR026231.fa	180	-	3
ERR026232.fa	180	-	3
ERR026233.fa	180	-	3
ERR026234.fa	180	-	3
ERR026235.fa	505	-	3
ERR026237.fa	180	-	3
ERR026238.fa	180	-	3
ERR026239.fa	180	-	3
ERR026240.fa	180	-	3
ERR026241.fa	180	-	3
ERR026242.fa	180	-	3
ERR026243.fa	180	-	3
ERR026244.fa	180	-	3
ERR026245.fa	180	-	3
ERR026246.fa	180	-	3
ERR026247.fa	180	-	3
ERR026248.fa	180	-	3
FQ312041.fa	180	-	3
FQ312043.fa	180	-	3
FQ312044.fa	180	-	3
FQ312045.fa	180	-	3
CACH01000001-CACH01000022.fasta	180	-	3
CACI01000001-CACI01000025.fasta	-	-	3
FQ312027.fasta	180	-	3
ERR047925.fa	8799	-	3
ERR047953.fa	-	-	3
ERR047970.fa	-	-	3
ERR047971.fa	-	-	3
ERR047993.fa	-	-	3
ERR048003.fa	-	-	3
ERR048005.fa	-	-	3
ERR048063.fa	180	-	3
ERR048076.fa	458	-	3
ERR048079.fa	458	-	3
ERR048116.fa	458	-	3
ERR048175.fa	-	-	3
ERR049108.fa	458	-	3
ERR049941.fa	4389	-	3
ERR050059.fa	4389	-	3
ERR050070.fa	4389	-	3
ERR051460.fa	-	-	3
ERR051605.fa	-	-	3
ERR052591.fa	4389	-	3
ERR052646.fa	4389	-	3
ERR054261.fa	4389	-	3
ERR054279.fa	4389	-	3
ERR054282.fa	6012	-	3
ERR054295.fa	4389	-	3
ERR054297.fa	-	-	3
ERR054434.fa	4389	-	3
ERR054583.fa	4389	-	3
ERR056770.fa	4389	-	3
ERR056772.fa	4389	-	3
ERR056793.fa	180	-	3
ERR060001.fa	4389	-	3
ERR060018.fa	4389	-	3
ERR063831.fa	4389	-	3
ERR064159.fa	458	-	3
ERR067851.fa	-	-	3
ERR273494.fa	458	-	3
ERR273535.fa	-	-	3
ERR069731.fa	585	-	10
ERR069809.fa		-	10
ERR129088.fa	816	-	10A
ERR129126.fa	3290	-	10A
ERR129158.fa	816	-	10A
ERR129164.fa	816	-	10A
ERR129199.fa	816	-	10A
ERR129201.fa	97	-	10A
ERR124256.fa	97	-	10A
ERR124285.fa	461	-	10A
ERR065347.fa	585	-	10A
ERR065350.fa	585	-	10A
ERR068012.fa	816	-	10A
ERR068048.fa	97	-	10A
ERR067981.fa	816	-	10A
ERR069683.fa	816	-	10A
ERR069768.fa	1953	-	35F
ERR065968.fa	498	-	35F
ERR129051.fa	498	-	35F
ERR129058.fa	498	-	35F
ERR129090.fa	498	-	35F
ERR129113.fa	498	-	35F
ERR129132.fa	498	-	35F
ERR124237.fa	498	-	35F
ERR124265.fa	498	-	35F
ERR124282.fa	498	-	35F
ERR124304.fa	498	-	35F
ERR068013.fa	498	-	35F
ERR068018.fa	498	-	35F
ERR068020.fa	498	-	35F
ERR067977.fa	1916	-	35F
ERR069690.fa	498	-	35F
ERR069712.fa	498	-	35F
ERR069715.fa	498	-	35F
ERR069732.fa	1360	-	6A
ERR069740.fa	460	-	6A
ERR069746.fa	460	-	6A
ERR069755.fa	460	-	6A
ERR069765.fa	460	-	6A
ERR069770.fa		-	6A
ERR069812.fa		-	6A
ERR069823.fa	460	-	6A
ERR069835.fa	460	-	6A
ERR065962.fa	460	-	6A
ERR065967.fa	460	-	6A
ERR124231.fa	460	-	6A
ERR065344.fa	460	-	6A
ERR065292.fa	460	-	6A
ERR065330.fa	460	-	6A
ERR067964.fa	460	-	6A
ERR069719.fa	1919	-	6A
ERR069721.fa	460	-	6A
ERR069752.fa	1913	-	11A
ERR069760.fa		-	11A
ERR069801.fa		-	11A
ERR069804.fa	62	-	11A
ERR069822.fa	62	-	11A
ERR069837.fa	1913	-	11A
ERR069839.fa	62	-	11A
ERR065964.fa	62	-	11A
ERR129037.fa	62	-	11A
ERR129068.fa	62	-	11A
ERR129079.fa	62	-	11A
ERR129080.fa	3276	-	11A
ERR129093.fa	62	-	11A
ERR129127.fa	62	-	11A
ERR129131.fa	66	-	11A
ERR129137.fa	3291	-	11A
ERR129139.fa	62	-	11A
ERR129154.fa	62	-	11A
ERR129159.fa	62	-	11A
ERR129177.fa	62	-	11A
ERR129178.fa	62	-	11A
ERR129210.fa	62	-	11A
ERR129211.fa	62	-	11A
ERR129214.fa	62	-	11A
ERR129215.fa	62	-	11A
ERR124240.fa	62	-	11A
ERR124242.fa	62	-	11A
ERR124246.fa	62	-	11A
ERR124268.fa	62	-	11A
ERR124291.fa	62	-	11
ERR124296.fa	62	-	11A
ERR124298.fa	62	-	11A
ERR124302.fa	62	-	11A
ERR065308.fa	62	-	11A
ERR065310.fa	62	-	11A
ERR065326.fa	62	-	11A
ERR067985.fa	62	-	11A
ERR067986.fa	62	-	11A
ERR068000.fa	62	-	11A
ERR068040.fa	1933	-	11A
ERR068041.fa	408	-	11A
ERR068046.fa	62	-	11A
ERR068047.fa	62	-	11A
ERR067968.fa	62	-	11A
ERR069702.fa	62	-	11A
ERR069707.fa	62	-	11A
ERR069713.fa	62	-	11A
ERR069727.fa	62	-	11A
ERR129026.fa	63	-	15A
ERR129054.fa	3282	-	15A
ERR129060.fa	63	-	15A
ERR129061.fa	63	-	15A
ERR129198.fa	63	-	15A
ERR124239.fa	63	-	15A
ERR124249.fa	63	-	15A
ERR124272.fa	1915	-	15A
ERR124274.fa	1915	-	15A
ERR124283.fa	63	-	15A
ERR124300.fa	63	-	15A
ERR065293.fa	1914	-	15A
ERR065297.fa	63	-	15A
ERR065320.fa	63	-	15A
ERR065332.fa	63	-	15A
ERR068026.fa	63	-	15A
ERR068028.fa	63	-	15A
ERR068032.fa	63	-	15A
ERR068042.fa		-	15
ERR068049.fa	63	-	15A
ERR067978.fa	1915	-	15A
ERR069724.fa	63	-	15A
ERR069725.fa	63	-	15A
ERR124221.fa	63	-	19A
ERR069698.fa	63	-	19A
ERR069738.fa	1901	-	22F
ERR069767.fa	433	-	22F
ERR069778.fa	433	-	22F
ERR069783.fa	433	-	22F
ERR069836.fa	433	-	22F
ERR129096.fa	433	-	22F
ERR129156.fa	433	-	22F
ERR129204.fa	433	-	22F
ERR124248.fa	433	-	22F
ERR124260.fa	1901	-	22F
ERR124307.fa	433	-	22F
ERR124318.fa	433	-	22F
ERR065338.fa		-	22F
ERR065343.fa	433	-	22F
ERR067987.fa	1337	-	22F
ERR067995.fa	1337	-	22F
ERR067996.fa	433	-	22F
ERR068037.fa	433	-	22F
ERR067965.fa	433	-	22F
ERR069686.fa	433	-	22F
ERR069688.fa	433	-	22F
ERR129053.fa	156	-	11A
ERR129144.fa	162	-	15B/C
ERR129182.fa	3275	-	15B/C
ERR129196.fa	162	-	15B/C
ERR068010.fa		-	15
ERR129105.fa	1925	-	19A
ERR129195.fa	1925	-	19A
ERR067998.fa	1925	-	19A
ERR069714.fa	1925	-	19A
ERR069799.fa	156	-	9A
ERR069818.fa	156	-	9A
ERR124320.fa	156	-	9A
ERR065342.fa	156	-	9A
ERR129077.fa	162	-	9V
ERR065301.fa	156	-	9V
ERR124286.fa	199	-	15B/C
ERR124288.fa	3280	-	15B/C
ERR124294.fa	3280	-	15B/C
ERR124297.fa	3280	-	15B/C
ERR124319.fa	3280	-	15B/C
ERR129042.fa	338	-	23A
ERR129117.fa	338	-	23A
ERR129157.fa	338	-	23A
ERR129167.fa	338	-	23A
ERR129176.fa	338	-	23A
ERR129213.fa	338	-	23A
ERR124235.fa	338	-	23A
ERR124308.fa	338	-	23A
ERR065303.fa	338	-	23A
ERR068023.fa	338	-	23A
ERR069708.fa	338	-	23A
ERR129043.fa	1373	-	23B
ERR124227.fa	1373	-	23B
ERR068030.fa	342	-	23A
ERR069779.fa	1827	-	6B
ERR069786.fa	639	-	6B
ERR069798.fa		-	6
ERR065969.fa	138	-	6B
ERR065971.fa	138	-	6B
ERR129172.fa	138	-	6B
ERR069685.fa	138	-	6B
ERR069693.fa	176	-	6B
ERR129168.fa	138	-	6C
ERR129067.fa	191	-	7F
ERR129073.fa	191	-	7F
ERR124224.fa	191	-	7F
ERR124228.fa	191	-	7F
ERR124243.fa	191	-	7F
ERR124276.fa	191	-	7F
ERR124292.fa	191	-	7F
ERR124312.fa	191	-	7F
ERR067961.fa	191	-	7F
ERR069718.fa	191	-	7F
ERR069751.fa	199	-	15B/C
ERR069761.fa	1938	-	15B/C
ERR069774.fa	199	-	15B/C
ERR069795.fa	199	-	15B/C
ERR069828.fa		-	15
ERR069829.fa		-	15B/C
ERR069833.fa	199	-	15B/C
ERR065970.fa	199	-	15B/C
ERR065972.fa	199	-	15B/C
ERR065975.fa	199	-	15B/C
ERR129032.fa	199	-	15B/C
ERR129033.fa	199	-	15B/C
ERR129034.fa	3280	-	15B/C
ERR129046.fa	199	-	15B/C
ERR129081.fa	199	-	15B/C
ERR129091.fa	199	-	15B/C
ERR129121.fa	199	-	15B/C
ERR129125.fa	199	-	15B/C
ERR129129.fa	199	-	15B/C
ERR129149.fa	199	-	15B/C
ERR129174.fa	3286	-	15B/C
ERR129175.fa	199	-	15B/C
ERR129186.fa	199	-	15B/C
ERR129190.fa	199	-	15B/C
ERR124225.fa	199	-	15B/C
ERR124229.fa	199	-	15B/C
ERR124263.fa	199	-	15B/C
ERR124267.fa	199	-	15B/C
ERR124313.fa	199	-	15B/C
ERR065337.fa		-	15
ERR065340.fa	199	-	15B/C
ERR065287.fa	199	-	15B/C
ERR065288.fa	199	-	15B/C
ERR065291.fa	199	-	15B/C
ERR068034.fa	199	-	15B/C
ERR068038.fa	199	-	15B/C
ERR068044.fa	199	-	15B/C
ERR068045.fa	199	-	15B/C
ERR068050.fa	1932	-	15B/C
ERR067960.fa	199	-	15B/C
ERR067974.fa	199	-	15B/C
ERR069687.fa	199	-	15B/C
ERR069691.fa	199	-	15B/C
ERR069704.fa	199	-	15B/C
ERR069705.fa	199	-	15B/C
ERR069711.fa	199	-	15B/C
ERR129207.fa	199	-	15F
ERR124220.fa	199	-	15F
ERR124251.fa	199	-	15F
ERR065319.fa	199	-	15F
ERR069745.fa	199	-	19A
ERR069753.fa	199	-	19A
ERR069771.fa	199	-	19A
ERR069776.fa	1936	-	19A
ERR069781.fa	199	-	19A
ERR069794.fa	1936	-	19A
ERR069796.fa	199	-	19A
ERR069805.fa	199	-	19A
ERR069817.fa	199	-	19A
ERR069831.fa	199	-	19A
ERR129025.fa	1756	-	19A
ERR129059.fa	199	-	19A
ERR129063.fa	199	-	19A
ERR129072.fa	199	-	19A
ERR129108.fa	199	-	19A
ERR129112.fa	199	-	19A
ERR129118.fa	2344	-	19A
ERR129120.fa	199	-	19A
ERR129123.fa	10013	-	19A
ERR129140.fa	199	-	19A
ERR129142.fa	199	-	19A
ERR129153.fa	199	-	19A
ERR129160.fa	199	-	19A
ERR129170.fa	199	-	19A
ERR129183.fa	667	-	19A
ERR129197.fa	199	-	19A
ERR129209.fa	199	-	19A
ERR124234.fa	199	-	19A
ERR124269.fa	3279	-	19A
ERR124270.fa	876	-	19A
ERR124280.fa	667	-	19A
ERR124281.fa	667	-	19A
ERR124284.fa	199	-	19A
ERR124295.fa	1673	-	19A
ERR124315.fa	199	-	19A
ERR065305.fa	667	-	19A
ERR065317.fa	667	-	19A
ERR065323.fa	199	-	19A
ERR065328.fa	199	-	19A
ERR067984.fa	199	-	19A
ERR068008.fa	199	-	19A
ERR068011.fa	1935	-	19A
ERR068017.fa	199	-	19A
ERR068024.fa	199	-	19A
ERR069684.fa	199	-	19A
ERR069696.fa	199	-	19A
ERR069717.fa	199	-	19A
ERR069758.fa		-	7
ERR069807.fa		-	18C
ERR069780.fa	436	-	23A
ERR069826.fa	436	-	23A
ERR129055.fa	42	-	23A
ERR129065.fa	3287	-	23A
ERR129076.fa	438	-	23A
ERR129082.fa	190	-	23A
ERR129098.fa	438	-	23A
ERR129106.fa	1839	-	23A
ERR129116.fa	3285	-	23A
ERR129133.fa	42	-	23A
ERR129141.fa	1839	-	23A
ERR129146.fa	42	-	23F
ERR129205.fa	42	-	23A
ERR124287.fa	3289	-	23A
ERR065306.fa	1949	-	23A
ERR065307.fa	438	-	23A
ERR065311.fa	1839	-	23A
ERR065313.fa	438	-	23A
ERR065322.fa	1839	-	23A
ERR068027.fa	1839	-	23A
ERR067973.fa	1839	-	23A
ERR067976.fa	42	-	23A
ERR069802.fa	439	-	23B
ERR129029.fa	36	-	23B
ERR129052.fa	36	-	23B
ERR129100.fa	1847	-	23B
ERR129107.fa	439	-	23B
ERR129122.fa	439	-	23B
ERR129147.fa	439	-	23B
ERR129155.fa	439	-	23B
ERR129161.fa	1847	-	23B
ERR129171.fa	36	-	23B
ERR129192.fa	3281	-	23B
ERR129208.fa	1847	-	23B
ERR124219.fa	36	-	23B
ERR124238.fa	439	-	23B
ERR124245.fa	1847	-	23B
ERR065345.fa	439	-	23B
ERR065346.fa	436	-	23B
ERR065348.fa	1847	-	23B
ERR068015.fa	439	-	23B
ERR067967.fa	439	-	23B
ERR069694.fa	439	-	23B
ERR069736.fa	36	-	23F
ERR069743.fa	629	-	23F
ERR069777.fa	33	-	23F
ERR069790.fa	36	-	23F
ERR069800.fa	36	-	23F
ERR069830.fa	439	-	23F
ERR065955.fa	627	-	23F
ERR065966.fa	36	-	23F
ERR065339.fa	1908	-	23F
ERR065355.fa	36	-	23F
ERR065331.fa	36	-	23F
ERR067980.fa	1909	-	23F
ERR069757.fa	1379	-	6C
ERR069766.fa	1390	-	6C
ERR069811.fa	1390	-	6C
ERR129039.fa	1390	-	6C
ERR129048.fa	1379	-	6C
ERR129111.fa	1379	-	6C
ERR129145.fa	1379	-	6C
ERR129152.fa	1390	-	6C
ERR129169.fa	1390	-	6C
ERR129203.fa	1390	-	6C
ERR124217.fa	1379	-	6C
ERR124232.fa	1390	-	6C
ERR124253.fa	1379	-	6C
ERR124254.fa	1390	-	6C
ERR124264.fa	1390	-	6C
ERR124266.fa	1379	-	6C
ERR124305.fa	1379	-	6C
ERR124310.fa	1379	-	6C
ERR124317.fa	1390	-	6C
ERR065298.fa	1390	-	6C
ERR065316.fa	1379	-	6C
ERR065327.fa	1390	-	6C
ERR067994.fa	1390	-	6C
ERR067997.fa	1390	-	6
ERR068025.fa	1390	-	6C
ERR065309.fa	1379	-	NT
ERR069733.fa	558	-	35B
ERR069749.fa	1946	-	35B
ERR069834.fa	558	-	35B
ERR129035.fa	558	-	35B
ERR129074.fa	558	-	35B
ERR129086.fa	558	-	35B
ERR129087.fa	558	-	35B
ERR129089.fa	558	-	35B
ERR129099.fa	558	-	35B
ERR129104.fa	558	-	35B
ERR129119.fa	558	-	35B
ERR129134.fa	3277	-	35B
ERR129143.fa	558	-	35B
ERR129148.fa	558	-	35B
ERR129163.fa	558	-	35B
ERR129173.fa	558	-	35B
ERR129179.fa	558	-	35B
ERR129200.fa	558	-	35B
ERR124236.fa	558	-	35B
ERR124241.fa	558	-	35B
ERR124250.fa	558	-	35B
ERR124273.fa	558	-	35B
ERR124275.fa	558	-	35B
ERR124277.fa	558	-	35B
ERR124279.fa	558	-	35B
ERR124290.fa	558	-	35B
ERR124293.fa	558	-	35B
ERR124299.fa	558	-	35B
ERR124301.fa	558	-	35B
ERR124316.fa	558	-	35B
ERR065351.fa	558	-	35B
ERR065300.fa	558	-	35B
ERR065324.fa	558	-	35B
ERR065329.fa	558	-	PoolG
ERR067988.fa	558	-	35B
ERR067992.fa	558	-	35B
ERR068002.fa	558	-	35B
ERR068019.fa	558	-	35B
ERR068029.fa	558	-	35B
ERR068033.fa	558	-	35B
ERR067962.fa	1947	-	35B
ERR067963.fa	558	-	35B
ERR067970.fa	1947	-	35B
ERR069703.fa	558	-	35B
ERR069726.fa	558	-	35B
ERR069728.fa	558	-	35B
ERR069803.fa		-	NT
ERR069841.fa		-	NT
ERR065965.fa	448	-	NT
ERR065974.fa	448	-	NT
ERR129130.fa	62	-	NT
ERR124278.fa	3278	-	NT
ERR065341.fa	448	-	NT
ERR065289.fa		-	NT
ERR065296.fa	448	-	NT
ERR067993.fa		-	NT
ERR069734.fa	1876	-	6A
ERR069741.fa	1911	-	6A
ERR069759.fa	690	-	6A
ERR069784.fa		-	6
ERR069788.fa	1876	-	6A
ERR069827.fa	1926	-	6A
ERR065953.fa	1940	-	6A
ERR129092.fa	1876	-	6A
ERR065353.fa	473	-	6A
ERR068001.fa	1928	-	6A
ERR068004.fa	1927	-	6A
ERR068043.fa	1917	-	6A
ERR067979.fa	690	-	6A
ERR069709.fa	1876	-	6A
ERR069710.fa	1876	-	6A
ERR068005.fa	690	-	6B
ERR129027.fa	473	-	6C
ERR129115.fa	473	-	6C
ERR124223.fa	473	-	6C
ERR069744.fa	376	-	6A
ERR069747.fa	376	-	6A
ERR069763.fa	376	-	6A
ERR069787.fa	376	-	6A
ERR069825.fa	1922	-	6A
ERR065963.fa	376	-	6A
ERR129128.fa	1538	-	6A
ERR124303.fa	376	-	6A
ERR124314.fa	376	-	6A
ERR067966.fa	376	-	6A
ERR067969.fa	376	-	6A
ERR069700.fa	1921	-	6A
ERR129031.fa	320	-	19A
ERR129036.fa	320	-	19A
ERR129049.fa	320	-	19A
ERR129075.fa	320	-	19A
ERR129193.fa	320	-	19A
ERR124222.fa	320	-	19A
ERR124233.fa	320	-	19A
ERR124255.fa	1451	-	19A
ERR069720.fa	320	-	19A
ERR069762.fa	1945	-	19F
ERR069791.fa	236	-	19F
ERR069793.fa	236	-	19F
ERR069842.fa	236	-	19F
ERR069843.fa	320	-	19F
ERR065973.fa	320	-	19F
ERR129062.fa	3292	-	19F
ERR129078.fa	236	-	19F
ERR065314.fa	236	-	19F
ERR067990.fa	271	-	19F
ERR067999.fa	236	-	19F
ERR068003.fa	1941	-	19F
ERR068035.fa	1937	-	19F
ERR068036.fa	271	-	19F
ERR069699.fa	236	-	19F
ERR069706.fa	1943	-	19F
ERR069772.fa	124	-	14
ERR069806.fa	124	-	14
ERR069816.fa	124	-	14
ERR069824.fa	124	-	14
ERR065956.fa	124	-	14
ERR069729.fa	124	-	14
ERR069730.fa	124	-	14
ERR129110.fa	432	-	21
ERR129057.fa	568	-	31
ERR129135.fa	568	-	31
ERR124311.fa	568	-	31
ERR065290.fa	568	-	31
ERR065959.fa	547	-	34
ERR129038.fa	547	-	34
ERR129066.fa	547	-	34
ERR065304.fa	1931	-	34
ERR068016.fa	547	-	34
ERR067975.fa	1902	-	34
ERR069815.fa	447	-	PoolD
ERR129151.fa	447	-	37
ERR069775.fa	393	-	38
ERR129040.fa	393	-	38
ERR129056.fa	393	-	38
ERR129124.fa	393	-	PoolI
ERR129188.fa	393	-	38
ERR065302.fa	393	-	38
ERR065321.fa	393	-	PoolI
ERR068039.fa	1390	-	PoolI
ERR069808.fa	1934	-	11A
ERR069820.fa	817	-	15A
ERR124244.fa	346	-	15B/C
ERR129041.fa	995	-	16F
ERR129181.fa	570	-	16F
ERR129184.fa	659	-	16F
ERR124247.fa	1840	-	16F
ERR124271.fa	659	-	16F
ERR124289.fa	659	-	16F
ERR124309.fa	659	-	16F
ERR065318.fa	659	-	16F
ERR124218.fa	392	-	17F
ERR124252.fa	2355	-	17F
ERR124258.fa	392	-	17F
ERR124306.fa	392	-	17F
ERR065312.fa	1924	-	17F
ERR069739.fa	1923	-	18C
ERR069814.fa	1948	-	18C
ERR065315.fa	1073	-	18
ERR068007.fa	496	-	18C
ERR069695.fa	113	-	18C
ERR129028.fa	695	-	19A
ERR129030.fa	36	-	19A
ERR129083.fa	695	-	19A
ERR129084.fa	415	-	19A
ERR129103.fa	695	-	19A
ERR129136.fa	695	-	19A
ERR129138.fa	180	-	19A
ERR129202.fa	695	-	19A
ERR129216.fa	695	-	19A
ERR065294.fa	1944	-	19A
ERR067982.fa	276	-	19A
ERR069737.fa	1340	-	19F
ERR069792.fa	425	-	19F
ERR069810.fa	425	-	19F
ERR065960.fa	654	-	19F
ERR129045.fa	426	-	19F
ERR129050.fa	654	-	19F
ERR129094.fa	43	-	19F
ERR129095.fa	43	-	19F
ERR129206.fa	43	-	19F
ERR065354.fa	425	-	19F
ERR065299.fa	654	-	19F
ERR065325.fa	654	-	19F
ERR068014.fa	43	-	19F
ERR068031.fa	425	-	19F
ERR069692.fa	1903	-	19F
ERR069697.fa	425	-	19F
ERR069723.fa	425	-	19F
ERR069742.fa		-	23
ERR069785.fa	81	-	23F
ERR069797.fa	81	-	23F
ERR069821.fa	81	-	23F
ERR069773.fa	393	-	25A
ERR129185.fa	2705	-	33A
ERR069789.fa	100	-	33
ERR124257.fa	2705	-	33F
ERR068021.fa	100	-	33F
ERR067972.fa	100	-	33F
ERR065349.fa	452	-	35B
ERR068022.fa	452	-	35B
ERR069722.fa	452	-	35B
ERR069764.fa	1939	-	6A
ERR065352.fa	242	-	6A
ERR069735.fa	1518	-	6B
ERR069782.fa	1536	-	6B
ERR069813.fa	146	-	6B
ERR069819.fa	146	-	6B
ERR069838.fa	146	-	6B
ERR069840.fa	315	-	6B
ERR065957.fa	1954	-	6B
ERR065295.fa	1930	-	6B
ERR129044.fa	1692	-	6C
ERR129071.fa	547	-	NT
ERR129194.fa	1692	-	6C
ERR124230.fa	547	-	6C
ERR067991.fa	547	-	6C
ERR129047.fa	3284	-	7C
ERR129187.fa	3283	-	7C
ERR129064.fa	1176	-	7F
ERR069769.fa	405	-	9N
ERR065958.fa	66	-	9N
