Key	strain	species-biovar	host	publication	year	panel1	country	ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
bmar048	8241	B. pinnipedialis	harbour seal	Maquart2009	2000	25	Germany	16	3	5	6	13	3	2	5	4	7	21	9	5	4	7	3	3
bmar051	8244	B. pinnipedialis	harbour seal	Maquart2009	2000	25	Germany	17	3	5	6	13	3	2	5	4	7	21	9	5	5	7	4	3
bmar064	11232	B. pinnipedialis	harbour seal	Maquart2009	2002	25	Germany	18	3	5	6	13	3	2	5	4	7	21	9	5	6	6	3	3
bmar066	11234	B. pinnipedialis	harbour seal	Maquart2009	2002	25	Germany	19	3	5	6	13	3	2	5	4	7	21	9	5	6	7	3	3
bmar067	11235	B. pinnipedialis	harbour seal	Maquart2009	2002	25	Germany	20	3	5	6	13	3	2	5	4	7	21	9	5	5	9	3	3
bmar087	11255	B. pinnipedialis	harbour seal	Maquart2009	2002	25	Germany	21	3	5	6	13	3	2	5	4	7	21	9	5	6	4	3	3
bmar088	11256	B. pinnipedialis	harbour seal	Maquart2009	2002	25	Germany	22	3	5	6	13	3	2	5	4	7	21	9	5	6	8	3	3
bmar097	11265	B. pinnipedialis	harbour seal	Maquart2009	2003	25	Germany	23	3	5	6	13	3	2	5	4	7	21	9	5	5	8	3	3
bmar098	11266	B. pinnipedialis	harbour seal	Maquart2009	2003	25	Germany	24	3	5	6	13	3	2	5	4	7	21	9	6	5	6	3	3
bmar099	11267	B. pinnipedialis	harbour seal	Maquart2009	2004	25	Germany	25	3	5	6	13	3	2	5	4	7	21	9	2	5	5	3	3
bmar101	B202R	B. ceti	minke whale	Maquart2009	1995	23	Norway	26	2	5	8	7	3	2	5	1	4	22	9	5	6	3	7	5
bmar105	M2466/93/4	B. pinnipedialis	harbour seal	Maquart2009	1993	72	Scotland	27	3	5	6	13	3	2	5	2	7	21	9	4	5	6	3	3
bmar106	M39/94/1	B. ceti	porpoise	Maquart2009	1994	23	Scotland	28	2	5	8	7	3	2	5	1	4	22	9	5	6	3	7	4
bmar107	M339/94/1	B. pinnipedialis	harbour seal	Maquart2009	1994	25	Scotland	29	3	5	6	13	3	2	5	4	7	21	9	6	6	5	3	3
bmar108	M997/94/2	B. ceti	AWSD	Maquart2009	1994	69	Scotland	30	2	5	8	7	2	2	5	1	4	22	9	7	4	3	7	6
bmar109	M2006/94/6	B. pinnipedialis	hooded seal	Maquart2009	1994	76	Scotland	31	3	5	15	12	3	2	5	7	7	22	9	4	4	6	6	6
bmar111	M490/95/1	B. ceti	harbour seal	Maquart2009	1995	23	Scotland	32	2	5	8	7	3	2	5	1	4	22	9	7	8	3	5	6
bmar112	M2438/95/1	B. ceti	AWSD	Maquart2009	1995	23	Scotland	33	2	5	8	7	3	2	5	1	4	22	9	4	6	3	6	5
bmar113	M18/96/1	B. ceti	AWSD	Maquart2009	1996	24	Scotland	34	2	5	8	13	2	2	4	2	6	6	9	8	6	8	8	3
bmar114	M515/96/2	B. ceti	porpoise	Maquart2009	1996	23	Scotland	35	2	5	8	7	3	2	5	1	4	22	9	4	6	5	5	4
bmar115	M452/97/2	B. ceti	common dolphin	Maquart2009	1997	23	Scotland	36	2	5	8	7	3	2	5	1	4	22	9	6	5	3	5	5
bmar116	M2788/97/1	B. ceti	AWSD	Maquart2009	1997	23	Scotland	37	2	5	8	7	3	2	5	1	4	22	9	5	6	3	8	6
bmar117	M854/98/8	B. ceti	porpoise	Maquart2009	1998	23	Scotland	38	2	5	8	7	3	2	5	1	4	22	9	4	8	3	5	4
bmar118	M1747/98/3	B. ceti	porpoise	Maquart2009	1998	23	Scotland	39	2	5	8	7	3	2	5	1	4	22	9	4	4	3	5	5
bmar132	M2194/94/1	B. ceti	striped dolphin	Maquart2009	1994	24	Scotland	40	2	5	8	13	2	2	4	2	6	6	9	9	5	8	15	3
bmar147	M493/99/1	B. ceti	porpoise	Maquart2009	1999	23	Scotland	41	2	5	8	7	3	2	5	1	4	22	9	8	6	3	4	5
bmar150	M610/99/1	B. ceti	porpoise	Maquart2009	1999	23	Scotland	42	2	5	8	7	3	2	5	1	4	22	9	6	5	3	7	4
bmar152	M563/99/2	B. ceti	porpoise	Maquart2009	1999	23	Scotland	43	2	5	8	7	3	2	5	1	4	22	9	4	6	3	7	4
bmar153	M654/99/1	B. ceti	striped dolphin	Maquart2009	1999	77	Scotland	44	2	5	8	13	1	2	4	2	6	6	9	12	8	7	12	3
bmar155	M621/99/2	B. pinnipedialis	gray seal	Maquart2009	1999	25	Scotland	45	3	5	6	13	3	2	5	4	7	22	9	6	6	4	3	3
bmar157	M575/99/4	B. ceti	porpoise	Maquart2009	1999	23	Scotland	47	2	5	8	7	3	2	5	1	4	22	9	6	7	3	7	4
bmar158	M2/00/1	B. ceti	AWSD	Maquart2009	2000	23	Scotland	48	2	5	8	7	3	2	5	1	4	22	9	6	6	3	6	4
bmar159	M499/99/5	B. ceti	porpoise	Maquart2009	1999	23	Scotland	49	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	6
bmar160	M192/00/1	B. pinnipedialis	minke whale	Maquart2009	2000	71	Scotland	50	2	5	6	12	3	2	5	3	7	21	9	5	5	7	5	3
bmar161	M194/00/1	B. pinnipedialis	gray seal	Maquart2009	2000	25	Scotland	51	3	5	6	13	3	2	5	4	6	21	9	5	5	5	3	3
bmar162	M187/00/1	B. ceti	AWSD	Maquart2009	2000	23	Scotland	52	2	5	8	7	3	2	5	1	4	22	9	6	5	3	9	5
bmar166	M9/02/01	B. ceti	striped dolphin	Maquart2009	2002	24	Scotland	53	2	5	8	13	2	2	4	2	6	6	9	8	7	8	14	3
bmar169	M305/02/1	B. pinnipedialis	harbour seal	Maquart2009	2002	71	Scotland	54	2	5	6	12	3	2	5	3	7	21	9	6	4	7	5	3
bmar174	M23/03/4	B. ceti	porpoise	Maquart2009	2003	23	Scotland	55	2	5	8	7	3	2	5	1	4	22	9	7	5	3	4	5
bmar175	M89/03/5	B. ceti	porpoise	Maquart2009	2003	23	Scotland	56	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	4
bmar177	M74/05/2	B. ceti	porpoise	Maquart2009	2005	23	Scotland	57	2	5	8	7	3	2	5	1	4	22	9	7	6	3	7	5
bmar178	M78/05/2	B. ceti	porpoise	Maquart2009	2005	23	Scotland	58	2	5	8	7	3	2	5	1	4	22	9	6	5	3	8	6
bmar180	M61/05/1	B. ceti	AWSD	Maquart2009	2005	23	Scotland	59	2	5	8	7	3	2	5	1	4	22	9	5	6	3	7	6
bmar181	M199/04/2	B. ceti	porpoise	Maquart2009	2004	23	Scotland	60	2	5	8	7	3	2	5	1	4	22	9	3	6	3	7	6
bmar184	M38/04/3	B. ceti	porpoise	Maquart2009	2004	23	Scotland	61	2	5	8	7	3	2	5	1	4	22	9	5	6	3	5	5
bmar185	M51/04/2	B. ceti	porpoise	Maquart2009	2004	23	Scotland	62	2	5	8	7	3	2	5	1	4	22	9	4	5	3	8	5
bmar186	M93/04/3	B. ceti	porpoise	Maquart2009	2004	23	Scotland	63	2	5	8	7	3	2	5	1	4	22	9	6	6	3	12	5
bmar187	M89/05/1	B. ceti	porpoise	Maquart2009	2005	69	Scotland	64	2	5	8	7	2	2	5	1	4	22	9	7	5	3	7	6
bmar188	M234/05/	B. ceti	porpoise	Maquart2009	2005	23	Scotland	65	2	5	8	7	3	2	5	1	4	22	9	7	7	3	4	5
bmar189	22f-1	B. pinnipedialis	hooded seal	Maquart2009	2002	76	Norway	66	3	5	15	12	3	2	5	7	7	22	9	4	4	6	4	6
bmar192	37f-1	B. pinnipedialis	hooded seal	Maquart2009	2002	76	Norway	67	3	5	15	12	3	2	5	7	7	22	9	4	4	6	7	4
bmar194	39e-2	B. pinnipedialis	hooded seal	Maquart2009	2002	76	Norway	68	3	5	15	12	3	2	5	7	7	22	9	4	4	5	5	4
bmar213	M2788/97/2	B. ceti	AWSD	Maquart2009	1997	23	Scotland	69	2	5	8	7	3	2	5	1	4	22	9	6	6	3	8	6
bmar215	M103/99/2	B. ceti	porpoise	Maquart2009	1999	23	Scotland	70	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	5
bmar216	M163/99/10	B. pinnipedialis	hooded seal	Maquart2009	1999	76	Scotland	71	3	5	15	12	3	2	5	7	7	22	9	5	4	6	5	4
bmar217	M656/99/2	B. ceti	striped dolphin	Maquart2009	1999	24	Scotland	72	2	5	8	13	2	2	4	2	6	6	9	8	8	8	15	3
bmar218	M499/99/10	B. ceti	porpoise	Maquart2009	1999	23	Scotland	73	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	6
bmar220	M12/00/3	B. ceti	porpoise	Maquart2009	2000	23	Scotland	74	2	5	8	7	3	2	5	1	4	22	9	8	6	3	3	4
bmar221	M13/01/1	B. pinnipedialis	harbour seal	Maquart2009	2001	25	Scotland	75	3	5	6	13	3	2	5	4	7	21	9	7	5	6	3	3
bmar222	M117/01/1	B. ceti	porpoise	Maquart2009	2001	23	Scotland	76	2	5	8	7	3	2	5	1	4	22	9	4	5	4	4	4
bmar223	M130/02/2	B. ceti	porpoise	Maquart2009	2002	23	Scotland	77	2	5	8	7	3	2	5	1	4	22	9	4	5	3	5	4
bmar225	22a-2	B. pinnipedialis	hooded seal	Maquart2009	2002	76	Norway	79	3	5	15	12	3	2	5	7	7	22	9	4	4	6	4	6
bmar226	23a-1	B. pinnipedialis	hooded seal	Maquart2009	2002	75	Norway	80	3	5	14	12	3	2	5	7	7	22	9	6	4	6	5	4
bmar228	25a-1	B. pinnipedialis	hooded seal	Maquart2009	2002	76	Norway	81	3	5	15	12	3	2	5	7	7	22	9	3	4	5	6	4
bmar229	30a-1	B. pinnipedialis	hooded seal	Maquart2009	2002	74	Norway	82	3	5	12	12	3	2	5	7	7	22	9	5	4	5	6	4
bmar231	M116/03/2	B. ceti	porpoise	Maquart2009	2003	23	Scotland	83	2	5	8	7	3	2	5	1	4	22	9	6	5	3	12	6
bmar232	M130/03/2	B. ceti	porpoise	Maquart2009	2003	23	Scotland	84	2	5	8	7	3	2	5	1	4	22	9	5	6	3	6	4
bmar233	M150/03/3	B. ceti	porpoise	Maquart2009	2003	23	Scotland	85	2	5	8	7	3	2	5	1	4	22	9	9	5	3	5	8
bmar253	53c-1	B. pinnipedialis	hooded seal	Maquart2009	2002	76	Norway	86	3	5	15	12	3	2	5	7	7	22	9	4	4	7	6	6
bmar254	M195/03/10	B. ceti	porpoise	Maquart2009	2003	70	Scotland	87	1	5	8	7	3	2	5	1	4	22	9	7	4	3	6	4
bmar255	M13/05/1	B. ceti	striped dolphin	Maquart2009	2005	24	Scotland	88	2	5	8	13	2	2	4	2	6	6	9	8	7	9	14	3
bmar256	M100/04/6	B. ceti	porpoise	Maquart2009	2004	23	Scotland	89	2	5	8	7	3	2	5	1	4	22	9	6	5	3	7	5
bmar257	M120/05/1	B. ceti	porpoise	Maquart2009	2005	23	Scotland	90	2	5	8	7	3	2	5	1	4	22	9	7	5	3	5	5
bmar261	M603/99/7	B. pinnipedialis	hooded seal	Maquart2009	1999	76	Scotland	91	3	5	15	12	3	2	5	7	7	22	9	4	4	6	7	4
bmar262	M656/99/1	B. ceti	striped dolphin	Maquart2009	1999	24	Scotland	92	2	5	8	13	2	2	4	2	6	6	9	8	8	8	15	3
bmar265	02/611	B. ceti	human	Maquart2009	2002	78	New Zealand	93	3	5	8	8	2	2	5	3	4	5	9	5	4	8	6	3
bmar269	M90/06/4	B. ceti	porpoise	Maquart2009	2006	23	Scotland	94	2	5	8	7	3	2	5	1	4	22	9	7	6	3	4	5
bmar270	M55/07/1	B. ceti	porpoise	Maquart2009	2007	23	Netherlands	95	2	5	8	7	3	2	5	1	4	22	9	4	6	3	8	4
bmar280	M83/01/4	B. ceti	porpoise	Maquart2009	2001	23	Scotland	96	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	8
bmar283	M42/07/1	B. ceti	AWSD	Maquart2009	2007	24	Scotland	97	2	5	8	13	2	2	4	2	6	6	9	8	6	11	14	3
bmar284	M83/07/1	B. ceti	AWSD	Maquart2009	2007	77	Scotland	98	2	5	8	13	1	2	4	2	6	6	9	11	10	7	9	3
bmar286	M39/06/6	B. ceti	porpoise	Maquart2009	2006	23	Scotland	99	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	5
bmar290	M158/06/1	B. ceti	AWSD	Maquart2009	2006	24	Scotland	100	2	5	8	13	2	2	4	2	6	6	9	9	8	7	15	3
bmar291	M52/01/2	B. ceti	AWSD	Maquart2009	2001	23	Scotland	101	2	5	8	7	3	2	5	1	4	22	9	8	7	3	7	5
bmar292	M222/07/1	B. ceti	AWSD	Maquart2009	2007	24	Scotland	102	2	5	8	13	2	2	4	2	6	6	9	8	11	10	18	3
bmar294	M181/07/7	B. ceti	porpoise	Maquart2009	2007	23	Scotland	103	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	7
bmar298	M231/07/3	B. ceti	bottlenose dolphin	Maquart2009	2007	77	Scotland	104	2	5	8	13	1	2	4	2	6	6	9	13	8	7	13	3
bmar299	M267/05/4	B. ceti	AWSD	Maquart2009	2005	77	Scotland	105	2	5	8	13	1	2	4	2	6	6	9	11	11	7	5	3
bmar300	M52/07/9	B. ceti	AWSD	Maquart2009	2007	24	Scotland	106	2	5	8	13	2	2	4	2	6	6	9	9	5	9	16	3
bmar301	M217/03/4	B. ceti	porpoise	Maquart2009	2003	23	Scotland	107	2	5	8	7	3	2	5	1	4	22	9	5	6	3	6	5
bmar306	M99/07/1	B. ceti	porpoise	Maquart2009	2007	23	Scotland	108	2	5	8	7	3	2	5	1	4	22	9	4	5	3	6	5
bmar311	M49/01/2	B. ceti	porpoise	Maquart2009	2001	23	Scotland	109	2	5	8	7	3	2	5	1	4	22	9	4	5	3	4	6
bmar312	M57/07/1	B. ceti	AWSD	Maquart2009	2007	24	Scotland	110	2	5	8	13	2	2	4	2	6	6	9	8	6	6	8	3
bmar319	M245/05/8	B. ceti	porpoise	Maquart2009	2005	23	Scotland	111	2	5	8	7	3	2	5	1	4	22	9	5	5	3	8	5
bmar322	M52/07/1	B. ceti	AWSD	Maquart2009	2007	24	Scotland	112	2	5	8	13	2	2	4	2	6	6	9	9	5	9	16	3
bmar337	M83/07/3	B. ceti	AWSD	Maquart2009	2007	77	Scotland	113	2	5	8	13	1	2	4	2	6	6	9	11	10	7	9	3
bmar338	M67/07/3	B. ceti	porpoise	Maquart2009	2007	23	Scotland	114	2	5	8	7	3	2	5	1	4	22	9	4	6	3	8	4
bmar339	M99/07/3	B. ceti	porpoise	Maquart2009	2007	23	Scotland	115	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	5
bmar340	M2/00/4	B. ceti	AWSD	Maquart2009	2000	23	Scotland	116	2	5	8	7	3	2	5	1	4	22	9	6	6	3	6	4
bmar343	M100/04/7	B. ceti	porpoise	Maquart2009	2004	23	Scotland	117	2	5	8	7	3	2	5	1	4	22	9	6	5	3	7	5
bmar346	M186/07/12	B. ceti	porpoise	Maquart2009	2007	23	Scotland	118	2	5	8	7	3	2	5	1	4	22	9	4	5	3	5	5
bmar356	M52/07/7	B. ceti	AWSD	Maquart2009	2007	24	Scotland	119	2	5	8	13	2	2	4	2	6	6	9	9	5	9	16	3
bmar359	M311/03/5	B. ceti	porpoise	Maquart2009	2003	23	Scotland	120	2	5	8	7	3	2	5	1	4	22	9	7	7	3	8	4
bmar360	M54/07/11	B. ceti	porpoise	Maquart2009	2007	23	Scotland	121	2	5	8	7	3	2	5	1	4	22	9	6	6	3	4	5
bmar363	M267/05/1	B. ceti	AWSD	Maquart2009	2005	77	Scotland	122	2	5	8	13	1	2	4	2	6	6	9	11	11	7	5	3
bmar365	M234/05/2	B. ceti	porpoise	Maquart2009	2005	23	Scotland	123	2	5	8	7	3	2	5	1	4	22	9	7	7	3	4	5
bmar366	M374/02/2	B. pinnipedialis	harbour seal	Maquart2009	2002	72	Scotland	124	3	5	6	13	3	2	5	2	7	21	9	4	5	9	3	3
bmar367	M35/08/2	UNK	minke whale	Maquart2009	2008	24	Scotland	125	2	5	8	13	2	2	4	2	6	6	9	9	8	9	16	3
bmar368	M231/07/2	B. ceti	bottlenose dolphin	Maquart2009	2007	77	Scotland	126	2	5	8	13	1	2	4	2	6	6	9	13	8	7	12	3
bmar371	M85/06/3	B. ceti	porpoise	Maquart2009	2006	23	Scotland	127	2	5	8	7	3	2	5	1	4	22	9	6	5	3	6	4
bmar374	M199/04/3	B. ceti	porpoise	Maquart2009	2004	23	Scotland	129	2	5	8	7	3	2	5	1	4	22	9	5	6	3	7	6
bmar377	M4/06/4	B. pinnipedialis	gray seal	Maquart2009	2006	79	Scotland	130	2	5	6	13	3	2	5	3	7	21	9	6	4	7	5	3
bmar379	M245/05/4	B. ceti	porpoise	Maquart2009	2005	23	Scotland	131	2	5	8	7	3	2	5	1	4	22	9	5	5	3	8	5
bmar381	M99/07/2	B. ceti	porpoise	Maquart2009	2007	23	Scotland	133	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	5
bmar382	M260/03/1	B. ceti	AWSD	Maquart2009	2003	24	Scotland	134	2	5	8	13	2	2	4	2	6	6	9	8	6	7	8	3
bru0001	REF 16M	B.melitensis biovar 1	goat	Le Flèche2006	UNK	47	United States	135	3	4	2	13	4	2	3	3	5	18	6	2	5	8	3	6
bru0002	REF 544	B.abortus biovar 1	cattle	Le Flèche2006	UNK	28	England	136	4	5	4	12	2	2	3	3	5	21	8	3	5	3	4	5
bru0003	REF 86/8/59	B.abortus biovar 2	cattle	Le Flèche2006	UNK	29	England	137	4	5	4	12	2	1	3	3	6	21	8	3	4	3	3	5
bru0004	REF Tulya	B.abortus biovar 3	human	Le Flèche2006	UNK	34	Uganda	138	3	5	4	11	2	2	3	3	8	20	8	6	5	3	11	5
bru0005	REF 292	B.abortus biovar 4	cattle	Le Flèche2006	UNK	30	England	139	4	5	4	12	2	2	3	2	6	21	8	3	4	3	3	5
bru0006	REF B3196	B.abortus biovar 5	cattle	Le Flèche2006	UNK	39	England	140	3	5	3	12	2	2	2	3	7	21	8	6	7	3	3	3
bru0008	REF C68	B.abortus biovar 9	cattle	Le Flèche2006	UNK	39	England	141	3	5	3	12	2	2	2	3	7	21	8	6	6	3	3	3
bru0010	REF 870	B.abortus biovar 6	cattle	Le Flèche2006	UNK	40	Africa	143	3	5	3	12	2	2	3	3	7	21	8	3	6	3	3	3
bru0011	REF 63/9	B.melitensis biovar 2	goat	Le Flèche2006	UNK	45	Turkey	144	1	5	3	12	2	2	3	2	4	20	8	7	4	3	5	4
bru0012	REF BOW 63/290	B.ovis	sheep	Le Flèche2006	UNK	1	Australia	145	3	5	2	10	1	1	5	2	3	4	9	6	7	7	6	2
bru0014	REF 1330	B.suis biovar 1	swine	Le Flèche2006	UNK	6	United States	146	2	3	6	10	4	1	5	2	4	19	9	6	6	5	5	3
bru0015	REF Thomsen	B.suis biovar 2	swine	Le Flèche2006	UNK	9	Denmark	147	2	4	8	15	6	1	5	2	6	22	9	9	9	18	2	4
bru0016	REF 686	B.suis biovar 3	swine	Le Flèche2006	UNK	4	United States	148	2	3	4	11	3	1	5	2	4	19	9	7	5	10	4	5
bru0017	REF 40	B.suis biovar 4	reindeer	Le Flèche2006	UNK	3	Former USSR	149	2	3	9	11	3	1	5	2	5	18	9	4	5	9	6	3
bru0018	REF 513	B.suis biovar 5	wild rodent	Le Flèche2006	UNK	21	Former USSR	150	1	2	9	17	1	2	5	5	7	22	9	9	5	3	9	5
bru0020	REF Porpoise	B.ceti	porpoise	Le Flèche2006	1994	23	Scotland	151	2	5	8	7	3	2	5	1	4	22	9	6	4	3	5	6
bru0021	REF RM 6/66	B.canis	dog	Le Flèche2006	UNK	3	United States	152	2	3	9	11	3	1	5	2	5	20	9	8	6	7	5	3
bru0022	REF Seal	B.pinnipedialis	common seal	Le Flèche2006	1994	25	Scotland	153	3	5	6	13	3	2	5	4	7	21	9	5	5	5	3	3
bru0024	REF 5K33	B.neotomae	desert rat	Le Flèche2006	UNK	26	United States	154	4	5	4	13	4	3	5	1	6	21	9	3	6	3	6	3
bru0038	BCCN 87-67a	B.suis biovar 1	unknown	Le Flèche2006	1987	6	China	155	2	3	6	10	4	1	5	2	4	19	9	5	5	8	6	3
bru0039	BCCN 87-68	B.suis biovar 1	unknown	Le Flèche2006	1987	6	Portugal	156	2	3	6	10	4	1	5	2	4	19	9	4	6	7	5	3
bru0042	BCCN 87-71	B.suis biovar 1	unknown	Le Flèche2006	1987	6	United States	157	2	3	6	10	4	1	5	2	4	19	9	6	5	7	4	3
bru0044	BCCN 87-72	B.suis biovar 1	unknown	Le Flèche2006	1987	6	Denmark	158	2	3	6	10	4	1	5	2	5	19	9	5	6	8	5	3
bru0045	BCCN 87-85	B.suis biovar 1	unknown	Le Flèche2006	1987	6	Denmark	159	2	3	6	10	4	1	5	2	4	19	9	9	5	7	5	3
bru0047	BCCN 87-87	B.suis biovar 1	unknown	Le Flèche2006	1987	6	Poland	160	2	3	6	10	4	1	5	2	4	19	9	7	7	8	5	3
bru0048	BCCN 87-88	B.suis biovar 1	unknown	Le Flèche2006	1987	6	Poland	161	2	3	6	10	4	1	5	2	4	19	9	6	6	6	5	3
bru0050	BCCN 87-89	B.suis biovar 1	swine	Le Flèche2006	1987	6	United States	162	2	3	6	10	4	1	5	2	4	19	9	6	5	7	3	3
bru0056	BCCN 98-26	B.suis biovar 1	swine	Le Flèche2006	1998	6	Argentina	163	2	3	6	10	4	1	5	2	4	19	9	4	6	6	4	3
bru0057	BCCN 98-31	B.suis biovar 1	swine	Le Flèche2006	1998	6	Argentina	164	2	3	6	10	4	1	5	2	4	19	9	5	5	6	4	3
bru0059	BCCN 98-43	B.suis biovar 1	swine	Le Flèche2006	1998	6	Argentina	165	2	3	6	10	4	1	5	2	4	19	9	4	4	8	5	3
bru0062	BCCN 78-6	B.suis biovar 2	hare	Le Flèche2006	1978	9	France (57)	166	2	4	8	15	6	1	5	2	6	21	9	12	5	13	2	11
bru0063	BCCN 81-89	B.suis biovar 2	hare	Le Flèche2006	1981	8	Poland	167	2	4	8	15	6	1	5	7	6	21	9	14	4	10	2	7
bru0064	BCCN 81-287	B.suis biovar 2	swine	Le Flèche2006	1981	9	France (67)	168	2	4	8	15	6	1	5	2	6	21	9	13	9	17	2	5
bru0065	BCCN 81-288	B.suis biovar 2	hare	Le Flèche2006	1981	9	France (57)	169	2	4	8	15	6	1	5	2	7	21	9	14	7	13	2	8
bru0066	BCCN 82-4	B.suis biovar 2	hare	Le Flèche2006	1982	15	France (88)	170	2	4	9	15	6	1	5	7	8	21	9	5	12	13	2	9
bru0068	BCCN 82-19	B.suis biovar 2	hare	Le Flèche2006	1982	10	Poland	171	2	4	8	15	5	1	5	2	6	21	9	10	9	8	2	5
bru0069	BCCN 84-22	B.suis biovar 2	hare	Le Flèche2006	1984	17	France (05)	172	2	4	8	15	5	1	5	7	7	21	9	18	7	3	2	7
bru0070	BCCN 87-11	B.suis biovar 2	hare	Le Flèche2006	1987	9	France (57)	173	2	4	8	15	6	1	5	2	7	21	9	6	6	23	2	12
bru0071	BCCN 87-17	B.suis biovar 2	hare	Le Flèche2006	1987	9	France (84)	174	2	4	8	15	6	1	5	2	5	21	9	15	12	5	2	5
bru0072	BCCN 88-57	B.suis biovar 2	hare	Le Flèche2006	1988	13	France (57)	175	2	4	8	9	6	1	5	7	7	20	9	19	8	7	2	6
bru0074	BCCN 89-155	B.suis biovar 2	hare	Le Flèche2006	1989	9	France (57)	176	2	4	8	15	6	1	5	2	6	21	9	16	7	11	2	6
bru0075	BCCN 93-20	B.suis biovar 2	hare	Le Flèche2006	1993	9	France (68)	177	2	4	8	15	6	1	5	2	6	19	9	14	8	10	2	5
bru0076	BCCN 93-24	B.suis biovar 2	hare	Le Flèche2006	1993	9	France (03)	178	2	4	8	15	6	1	5	2	5	21	9	16	11	11	2	8
bru0078	BCCN 93-63	B.suis biovar 2	swine	Le Flèche2006	1993	7	France (76)	179	2	4	8	15	6	1	5	6	6	21	9	15	9	13	2	7
bru0081	BCCN 96-140	B.suis biovar 2	swine	Le Flèche2006	1996	16	France (16)	181	2	5	8	15	5	1	5	7	6	20	9	20	7	15	2	5
bru0083	BCCN 97-108	B.suis biovar 2	swine	Le Flèche2006	1997	16	France (24)	182	2	5	8	15	5	1	5	7	6	20	9	22	7	13	2	5
bru0084	BCCN 98-9	B.suis biovar 2	boar	Le Flèche2006	1998	16	France (87)	183	2	5	8	15	5	1	5	7	6	20	9	8	7	9	2	5
bru0086	BCCN 98-95	B.suis biovar 2	swine	Le Flèche2006	1998	7	France (87)	184	2	4	8	15	6	1	5	6	6	21	9	6	9	16	2	10
